PERMNO,date,TICKER,COMNAM,CUSIP,FACPR,PRC,CFACPR
14593,20000211,AAPL,APPLE COMPUTER INC,3783310,,108.75,28
14593,20000214,AAPL,APPLE COMPUTER INC,3783310,,115.8125,28
14593,20000215,AAPL,APPLE COMPUTER INC,3783310,,119,28
14593,20000216,AAPL,APPLE COMPUTER INC,3783310,,114.125,28
14593,20000217,AAPL,APPLE COMPUTER INC,3783310,,114.875,28
14593,20000218,AAPL,APPLE COMPUTER INC,3783310,,111.25,28
14593,20000222,AAPL,APPLE COMPUTER INC,3783310,,113.8125,28
14593,20000223,AAPL,APPLE COMPUTER INC,3783310,,116.25,28
14593,20000224,AAPL,APPLE COMPUTER INC,3783310,,115.20313,28
14593,20000225,AAPL,APPLE COMPUTER INC,3783310,,110.375,28
14593,20000228,AAPL,APPLE COMPUTER INC,3783310,,113.25,28
14593,20000229,AAPL,APPLE COMPUTER INC,3783310,,114.625,28
14593,20000301,AAPL,APPLE COMPUTER INC,3783310,,130.3125,28
14593,20000302,AAPL,APPLE COMPUTER INC,3783310,,122,28
14593,20000303,AAPL,APPLE COMPUTER INC,3783310,,128,28
14593,20000306,AAPL,APPLE COMPUTER INC,3783310,,125.6875,28
14593,20000307,AAPL,APPLE COMPUTER INC,3783310,,122.875,28
14593,20000308,AAPL,APPLE COMPUTER INC,3783310,,122,28
14593,20000309,AAPL,APPLE COMPUTER INC,3783310,,122.25,28
14593,20000310,AAPL,APPLE COMPUTER INC,3783310,,125.75,28
14593,20000313,AAPL,APPLE COMPUTER INC,3783310,,121.3125,28
14593,20000314,AAPL,APPLE COMPUTER INC,3783310,,114.25,28
14593,20000315,AAPL,APPLE COMPUTER INC,3783310,,116.25,28
14593,20000316,AAPL,APPLE COMPUTER INC,3783310,,121.5625,28
14593,20000317,AAPL,APPLE COMPUTER INC,3783310,,125,28
14593,20000320,AAPL,APPLE COMPUTER INC,3783310,,123,28
14593,20000321,AAPL,APPLE COMPUTER INC,3783310,,134.9375,28
14593,20000322,AAPL,APPLE COMPUTER INC,3783310,,144.1875,28
14593,20000323,AAPL,APPLE COMPUTER INC,3783310,,141.3125,28
14593,20000324,AAPL,APPLE COMPUTER INC,3783310,,138.6875,28
14593,20000327,AAPL,APPLE COMPUTER INC,3783310,,139.5625,28
14593,20000328,AAPL,APPLE COMPUTER INC,3783310,,139.125,28
14593,20000329,AAPL,APPLE COMPUTER INC,3783310,,135.9375,28
14593,20000330,AAPL,APPLE COMPUTER INC,3783310,,125.75,28
14593,20000331,AAPL,APPLE COMPUTER INC,3783310,,135.8125,28
14593,20000403,AAPL,APPLE COMPUTER INC,3783310,,133.3125,28
14593,20000404,AAPL,APPLE COMPUTER INC,3783310,,127.3125,28
14593,20000405,AAPL,APPLE COMPUTER INC,3783310,,130.375,28
14593,20000406,AAPL,APPLE COMPUTER INC,3783310,,125.1875,28
14593,20000407,AAPL,APPLE COMPUTER INC,3783310,,131.75,28
14593,20000410,AAPL,APPLE COMPUTER INC,3783310,,125,28
14593,20000411,AAPL,APPLE COMPUTER INC,3783310,,119.4375,28
14593,20000412,AAPL,APPLE COMPUTER INC,3783310,,109.25,28
14593,20000413,AAPL,APPLE COMPUTER INC,3783310,,113.8125,28
14593,20000414,AAPL,APPLE COMPUTER INC,3783310,,111.875,28
14593,20000417,AAPL,APPLE COMPUTER INC,3783310,,123.875,28
14593,20000418,AAPL,APPLE COMPUTER INC,3783310,,126.875,28
14593,20000419,AAPL,APPLE COMPUTER INC,3783310,,121.125,28
14593,20000420,AAPL,APPLE COMPUTER INC,3783310,,118.875,28
14593,20000424,AAPL,APPLE COMPUTER INC,3783310,,120.5,28
14593,20000425,AAPL,APPLE COMPUTER INC,3783310,,128.3125,28
14593,20000426,AAPL,APPLE COMPUTER INC,3783310,,121.3125,28
14593,20000427,AAPL,APPLE COMPUTER INC,3783310,,126.75,28
14593,20000428,AAPL,APPLE COMPUTER INC,3783310,,124.0625,28
14593,20000501,AAPL,APPLE COMPUTER INC,3783310,,124.3125,28
14593,20000502,AAPL,APPLE COMPUTER INC,3783310,,117.875,28
14593,20000503,AAPL,APPLE COMPUTER INC,3783310,,115.0625,28
14593,20000504,AAPL,APPLE COMPUTER INC,3783310,,110.6875,28
14593,20000505,AAPL,APPLE COMPUTER INC,3783310,,113.125,28
14593,20000508,AAPL,APPLE COMPUTER INC,3783310,,110.125,28
14593,20000509,AAPL,APPLE COMPUTER INC,3783310,,105.4375,28
14593,20000510,AAPL,APPLE COMPUTER INC,3783310,,99.3125,28
14593,20000511,AAPL,APPLE COMPUTER INC,3783310,,102.8125,28
14593,20000512,AAPL,APPLE COMPUTER INC,3783310,,107.625,28
14593,20000515,AAPL,APPLE COMPUTER INC,3783310,,101,28
14593,20000516,AAPL,APPLE COMPUTER INC,3783310,,105.6875,28
14593,20000517,AAPL,APPLE COMPUTER INC,3783310,,101.375,28
14593,20000518,AAPL,APPLE COMPUTER INC,3783310,,100.75,28
14593,20000519,AAPL,APPLE COMPUTER INC,3783310,,94,28
14593,20000522,AAPL,APPLE COMPUTER INC,3783310,,89.9375,28
14593,20000523,AAPL,APPLE COMPUTER INC,3783310,,85.8125,28
14593,20000524,AAPL,APPLE COMPUTER INC,3783310,,87.6875,28
14593,20000525,AAPL,APPLE COMPUTER INC,3783310,,87.26563,28
14593,20000526,AAPL,APPLE COMPUTER INC,3783310,,86.375,28
14593,20000530,AAPL,APPLE COMPUTER INC,3783310,,87.5625,28
14593,20000531,AAPL,APPLE COMPUTER INC,3783310,,84,28
14593,20000601,AAPL,APPLE COMPUTER INC,3783310,,89.125,28
14593,20000602,AAPL,APPLE COMPUTER INC,3783310,,92.5625,28
14593,20000605,AAPL,APPLE COMPUTER INC,3783310,,91.3125,28
14593,20000606,AAPL,APPLE COMPUTER INC,3783310,,92.875,28
14593,20000607,AAPL,APPLE COMPUTER INC,3783310,,96.5625,28
14593,20000608,AAPL,APPLE COMPUTER INC,3783310,,94.8125,28
14593,20000609,AAPL,APPLE COMPUTER INC,3783310,,95.75,28
14593,20000612,AAPL,APPLE COMPUTER INC,3783310,,91.1875,28
14593,20000613,AAPL,APPLE COMPUTER INC,3783310,,94.5,28
14593,20000614,AAPL,APPLE COMPUTER INC,3783310,,90.4375,28
14593,20000615,AAPL,APPLE COMPUTER INC,3783310,,92.375,28
14593,20000616,AAPL,APPLE COMPUTER INC,3783310,,91.1875,28
14593,20000619,AAPL,APPLE COMPUTER INC,3783310,,96.625,28
14593,20000620,AAPL,APPLE COMPUTER INC,3783310,,101.25,28
14593,20000621,AAPL,APPLE COMPUTER INC,3783310,1,55.625,14
14593,20000622,AAPL,APPLE COMPUTER INC,3783310,,53.75,14
14593,20000623,AAPL,APPLE COMPUTER INC,3783310,,51.6875,14
14593,20000626,AAPL,APPLE COMPUTER INC,3783310,,54.125,14
14593,20000627,AAPL,APPLE COMPUTER INC,3783310,,51.75,14
14593,20000628,AAPL,APPLE COMPUTER INC,3783310,,54.4375,14
14593,20000629,AAPL,APPLE COMPUTER INC,3783310,,51.25,14
14593,20000630,AAPL,APPLE COMPUTER INC,3783310,,52.375,14
14593,20000703,AAPL,APPLE COMPUTER INC,3783310,,53.3125,14
14593,20000705,AAPL,APPLE COMPUTER INC,3783310,,51.625,14
14593,20000706,AAPL,APPLE COMPUTER INC,3783310,,51.8125,14
14593,20000707,AAPL,APPLE COMPUTER INC,3783310,,54.4375,14
